cik,ticker,fiscal_year,prev_fiscal_year,report_date,filing_date,prev_filing_date,accession,prev_accession,cos_full,jac_full,len_full,cos_1a,jac_1a,len_1a,cos_7,jac_7,len_7
0001551152,ABBV,2018,2017,2018-12-31,2019-02-27,2018-02-16,0001551152-19-000008,0001551152-18-000014,0.998377,0.892745,362760,0.998489,0.947063,45595,0.998396,0.946724,44119
0001551152,ABBV,2019,2018,2019-12-31,2020-02-21,2019-02-27,0001551152-20-000007,0001551152-19-000008,0.996223,0.875608,368722,0.998515,0.954115,50135,0.993780,0.804522,38853
0001551152,ABBV,2020,2019,2020-12-31,2021-02-19,2020-02-21,0001551152-21-000008,0001551152-20-000007,0.994522,0.779669,412147,0.998121,0.897246,53865,0.718978,0.235659,32160
0001551152,ABBV,2021,2020,2021-12-31,2022-02-18,2021-02-19,0001551152-22-000007,0001551152-21-000008,0.998632,0.917438,405655,0.999952,0.988412,54103,0.993038,0.935280,31648
0001551152,ABBV,2022,2021,2022-12-31,2023-02-17,2022-02-18,0001551152-23-000011,0001551152-22-000007,0.998474,0.882959,401441,0.998419,0.874229,59860,0.978975,0.844197,30111
0001551152,ABBV,2023,2022,2023-12-31,2024-02-20,2023-02-17,0001551152-24-000011,0001551152-23-000011,0.997454,0.890826,406400,0.999050,0.925767,58740,0.992388,0.931682,31444
0001551152,ABBV,2024,2023,2024-12-31,2025-02-14,2024-02-20,0001551152-25-000020,0001551152-24-000011,0.996201,0.911744,423239,0.999416,0.941948,58730,0.992854,0.953311,31324
0001551152,ABBV,2025,2024,2025-12-31,2026-02-20,2025-02-14,0001551152-26-000008,0001551152-25-000020,0.998494,0.897424,419988,0.998395,0.940207,64012,0.991249,0.925084,31672
0000001800,ABT,2008,2007,2008-12-31,2009-02-20,2008-02-19,0001047469-09-001642,0001047469-08-001480,0.996492,0.885893,307148,0.999441,0.973451,19301,0.989820,0.857256,54787
0000001800,ABT,2009,2008,2009-12-31,2010-02-19,2009-02-20,0001047469-10-001018,0001047469-09-001642,0.988414,0.860075,281749,0.999854,0.989886,19501,0.992702,0.829457,53102
0000001800,ABT,2010,2009,2010-12-31,2011-02-18,2010-02-19,0001047469-11-001056,0001047469-10-001018,0.996141,0.864938,309933,0.998159,0.939024,20103,0.986495,0.719388,70612
0000001800,ABT,2011,2010,2011-12-31,2012-02-21,2011-02-18,0001047469-12-001216,0001047469-11-001056,0.995732,0.852491,328867,0.997408,0.946365,21651,0.982910,0.732916,90478
0000001800,ABT,2012,2011,2012-12-31,2013-02-15,2012-02-21,0001047469-13-001180,0001047469-12-001216,0.987632,0.854870,312918,0.985500,0.842553,24852,0.988544,0.795175,82154
0000001800,ABT,2013,2012,2013-12-31,2014-02-21,2013-02-15,0001047469-14-001176,0001047469-13-001180,0.992197,0.847501,283546,0.999575,0.975637,24368,0.980058,0.738763,68136
0000001800,ABT,2014,2013,2014-12-31,2015-02-27,2014-02-21,0001047469-15-001377,0001047469-14-001176,0.995634,0.884118,304180,0.998859,0.962842,25404,0.989442,0.819095,79921
0000001800,ABT,2015,2014,2015-12-31,2016-02-19,2015-02-27,0001047469-16-010246,0001047469-15-001377,0.997076,0.908683,309515,0.999532,0.968051,26437,0.993041,0.836746,81080
0000001800,ABT,2016,2015,2016-12-31,2017-02-17,2016-02-19,0001047469-17-000744,0001047469-16-010246,0.991728,0.844141,323618,0.986581,0.816808,28502,0.975766,0.660035,115259
0000001800,ABT,2017,2016,2017-12-31,2018-02-16,2017-02-17,0001047469-18-000856,0001047469-17-000744,0.993700,0.847438,349397,0.995830,0.918347,25663,0.985989,0.752702,115825
0000001800,ABT,2018,2017,2018-12-31,2019-02-22,2018-02-16,0001047469-19-000624,0001047469-18-000856,0.997810,0.921778,348075,0.999488,0.987055,26374,0.993917,0.871560,109253
0000001800,ABT,2019,2018,2019-12-31,2020-02-21,2019-02-22,0001104659-20-023904,0001047469-19-000624,0.997811,0.923684,343270,0.999657,0.983940,26513,0.985434,0.748723,89137
0000001800,ABT,2020,2019,2020-12-31,2021-02-19,2020-02-21,0001104659-21-025751,0001104659-20-023904,0.993493,0.866648,309724,0.997655,0.951745,28962,0.975062,0.733609,75795
0000001800,ABT,2021,2020,2021-12-31,2022-02-18,2021-02-19,0001104659-22-025141,0001104659-21-025751,0.998609,0.918477,315821,0.999309,0.964250,30638,0.990655,0.825522,75957
0000001800,ABT,2022,2021,2022-12-31,2023-02-17,2022-02-18,0001628280-23-004026,0001104659-22-025141,0.998548,0.924051,316207,0.997918,0.919551,33752,0.993007,0.816591,75416
0000001800,ABT,2023,2022,2023-12-31,2024-02-16,2023-02-17,0001628280-24-005348,0001628280-23-004026,0.998620,0.916551,328176,0.998541,0.949907,34785,0.993835,0.834553,77900
0000001800,ABT,2024,2023,2024-12-31,2025-02-21,2024-02-16,0001628280-25-007110,0001628280-24-005348,0.998265,0.918904,320328,0.996672,0.936111,34154,0.990063,0.818800,72496
0000001800,ABT,2025,2024,2025-12-31,2026-02-20,2025-02-21,0001628280-26-010185,0001628280-25-007110,0.998991,0.924323,311933,0.998767,0.939680,32418,0.992262,0.854217,69709
0001467373,ACN,2010,2009,2010-08-31,2010-10-26,2009-10-19,0001193125-10-235847,0001193125-09-209671,0.995181,0.885527,409174,0.993472,0.825610,68239,0.972574,0.664360,15319
0001467373,ACN,2011,2010,2011-08-31,2011-10-21,2010-10-26,0001193125-11-277309,0001193125-10-235847,0.998073,0.890403,387598,0.993918,0.844037,73007,0.979609,0.711268,13043
0001467373,ACN,2012,2011,2012-08-31,2012-10-30,2011-10-21,0001467373-12-000170,0001193125-11-277309,0.999003,0.927385,390166,0.998217,0.924638,76036,0.988254,0.796226,14455
0001467373,ACN,2013,2012,2013-08-31,2013-10-29,2012-10-30,0001467373-13-000482,0001467373-12-000170,0.999245,0.935539,404727,0.998603,0.926346,81371,0.986767,0.801835,13440
0001467373,ACN,2014,2013,2014-08-31,2014-10-24,2013-10-29,0001467373-14-000467,0001467373-13-000482,0.998948,0.927615,384838,0.998883,0.962199,81115,0.975216,0.742754,13610
0001467373,ACN,2015,2014,2015-08-31,2015-10-30,2014-10-24,0001467373-15-000457,0001467373-14-000467,0.995023,0.919767,362812,0.998408,0.953997,79257,0.963394,0.710037,10916
0001467373,ACN,2016,2015,2016-08-31,2016-10-28,2015-10-30,0001467373-16-001080,0001467373-15-000457,0.998555,0.943837,372523,0.998406,0.937860,77891,0.988648,0.899142,11443
0001467373,ACN,2017,2016,2017-08-31,2017-10-26,2016-10-28,0001467373-17-000430,0001467373-16-001080,0.999544,0.959739,361369,0.999468,0.975953,79074,0.973009,0.868534,10159
0001467373,ACN,2018,2017,2018-08-31,2018-10-24,2017-10-26,0001467373-18-000318,0001467373-17-000430,0.995274,0.929598,348179,0.998742,0.942548,80387,0.996910,0.949074,9719
0001467373,ACN,2019,2018,2019-08-31,2019-10-29,2018-10-24,0001467373-19-000339,0001467373-18-000318,0.996875,0.916888,340573,0.999582,0.982184,80945,0.839051,0.432071,3371
0001467373,ACN,2020,2019,2020-08-31,2020-10-22,2019-10-29,0001467373-20-000376,0001467373-19-000339,0.996616,0.891814,327918,0.996042,0.918624,85756,0.826222,0.353612,12425
0001467373,ACN,2021,2020,2021-08-31,2021-10-15,2020-10-22,0001467373-21-000229,0001467373-20-000376,0.998414,0.895652,328646,0.998220,0.907447,86802,0.831090,0.325714,11337
0001467373,ACN,2022,2021,2022-08-31,2022-10-12,2021-10-15,0001467373-22-000295,0001467373-21-000229,0.998892,0.905128,337399,0.995219,0.920968,83807,0.846248,0.293223,12724
0001467373,ACN,2023,2022,2023-08-31,2023-10-12,2022-10-12,0001467373-23-000324,0001467373-22-000295,0.999006,0.934806,350364,0.998062,0.957946,86518,0.958124,0.631776,9192
0001467373,ACN,2024,2023,2024-08-31,2024-10-10,2023-10-12,0001467373-24-000278,0001467373-23-000324,0.998810,0.922733,369110,0.997802,0.949179,91685,0.902060,0.602794,9950
0001467373,ACN,2025,2024,2025-08-31,2025-10-10,2024-10-10,0001467373-25-000217,0001467373-24-000278,0.998137,0.886047,357840,0.998494,0.939938,93904,0.976200,0.865772,9639
0000796343,ADBE,2008,2007,2008-11-28,2009-01-23,2008-01-24,0000796343-09-000007,0001047469-08-000497,0.997168,0.851843,435130,0.987198,0.756481,38629,0.952094,0.562363,28724
0000796343,ADBE,2009,2008,2009-11-27,2010-01-22,2009-01-23,0000796343-10-000003,0000796343-09-000007,0.976780,0.825005,514497,0.981839,0.766491,53381,0.973444,0.759241,30740
0000796343,ADBE,2010,2009,2010-12-03,2011-01-27,2010-01-22,0000796343-11-000003,0000796343-10-000003,0.994658,0.848397,554887,0.991990,0.849394,53345,0.951454,0.509886,97285
0000796343,ADBE,2011,2010,2011-12-02,2012-01-26,2011-01-27,0000796343-12-000003,0000796343-11-000003,0.994373,0.868754,522926,0.990035,0.850794,57520,0.988950,0.799769,88990
0000796343,ADBE,2012,2011,2012-11-30,2013-01-22,2012-01-26,0000796343-13-000008,0000796343-12-000003,0.992843,0.875651,523516,0.997043,0.924456,59246,0.989096,0.848652,88034
0000796343,ADBE,2013,2012,2013-11-29,2014-01-21,2013-01-22,0000796343-14-000004,0000796343-13-000008,0.977684,0.753678,417432,0.996277,0.907511,62647,0.989376,0.767236,89403
0000796343,ADBE,2014,2013,2014-11-28,2015-01-20,2014-01-21,0000796343-15-000022,0000796343-14-000004,0.999083,0.934794,432460,0.996970,0.912752,63679,0.995171,0.867372,92903
0000796343,ADBE,2015,2014,2015-11-27,2016-01-19,2015-01-20,0000796343-16-000224,0000796343-15-000022,0.998322,0.902996,425119,0.996534,0.902410,67042,0.992989,0.868193,87761
0000796343,ADBE,2016,2015,2016-12-02,2017-01-20,2016-01-19,0000796343-17-000031,0000796343-16-000224,0.997562,0.907189,412909,0.996908,0.924385,65076,0.991522,0.837324,83293
0000796343,ADBE,2017,2016,2017-12-01,2018-01-22,2017-01-20,0000796343-18-000015,0000796343-17-000031,0.997854,0.865491,399362,0.994917,0.834569,62024,0.993463,0.860671,76943
0000796343,ADBE,2018,2017,2018-11-30,2019-01-25,2018-01-22,0000796343-19-000019,0000796343-18-000015,0.992625,0.894240,417284,0.998760,0.956151,65035,0.979832,0.758883,67565
0000796343,ADBE,2019,2018,2019-11-29,2020-01-21,2019-01-25,0000796343-20-000013,0000796343-19-000019,0.996183,0.873523,434009,0.998340,0.940281,68410,0.985750,0.799202,61705
0000796343,ADBE,2020,2019,2020-11-27,2021-01-15,2020-01-21,0000796343-21-000004,0000796343-20-000013,0.997207,0.894179,446028,0.991239,0.911317,78528,0.988062,0.795828,63489
0000796343,ADBE,2021,2020,2021-12-03,2022-01-21,2021-01-15,0000796343-22-000032,0000796343-21-000004,0.996308,0.831283,379067,0.998427,0.939683,80266,0.985896,0.799870,54885
0000796343,ADBE,2022,2021,2022-12-02,2023-01-17,2022-01-21,0000796343-23-000007,0000796343-22-000032,0.998447,0.892529,371328,0.995064,0.848237,73826,0.990848,0.836820,53877
0000796343,ADBE,2023,2022,2023-12-01,2024-01-17,2023-01-17,0000796343-24-000006,0000796343-23-000007,0.995127,0.826509,366534,0.978867,0.674361,65989,0.991333,0.832973,49420
0000796343,ADBE,2024,2023,2024-11-29,2025-01-13,2024-01-17,0000796343-25-000004,0000796343-24-000006,0.996482,0.923301,377256,0.997771,0.939358,66615,0.993219,0.905530,48822
0000796343,ADBE,2025,2024,2025-11-28,2026-01-15,2025-01-13,0000796343-26-000003,0000796343-25-000004,0.990353,0.834549,345852,0.993201,0.915254,69640,0.970890,0.761628,46704
0000006951,AMAT,2008,2007,2008-10-26,2008-12-12,2007-12-14,0000950134-08-022104,0000891618-07-000682,0.997024,0.870741,350441,0.982686,0.789372,35203,0.991362,0.792727,75245
0000006951,AMAT,2009,2008,2009-10-25,2009-12-11,2008-12-12,0000950123-09-070205,0000950134-08-022104,0.994490,0.860784,360285,0.994123,0.841645,41359,0.980677,0.754020,71424
0000006951,AMAT,2010,2009,2010-10-31,2010-12-10,2009-12-11,0000950123-10-112754,0000950123-09-070205,0.996847,0.851464,378236,0.992379,0.777947,47038,0.979423,0.732515,75574
0000006951,AMAT,2011,2010,2011-10-30,2011-12-06,2010-12-10,0001193125-11-332050,0000950123-10-112754,0.997125,0.868149,405847,0.995402,0.836031,54123,0.987697,0.745598,92764
0000006951,AMAT,2012,2011,2012-10-28,2012-12-05,2011-12-06,0000006951-12-000018,0001193125-11-332050,0.995081,0.881782,407690,0.997212,0.876535,54833,0.978313,0.772973,94258
0000006951,AMAT,2013,2012,2013-10-27,2013-12-04,2012-12-05,0000006951-13-000044,0000006951-12-000018,0.997009,0.885484,378374,0.993850,0.873720,51772,0.986685,0.780000,86741
0000006951,AMAT,2014,2013,2014-10-26,2014-12-17,2013-12-04,0000006951-14-000037,0000006951-13-000044,0.998611,0.949561,366612,0.999670,0.984805,51778,0.993008,0.876289,82092
0000006951,AMAT,2015,2014,2015-10-25,2015-12-09,2014-12-17,0000006951-15-000034,0000006951-14-000037,0.994951,0.825375,338622,0.996310,0.921555,50661,0.990591,0.796123,80723
0000006951,AMAT,2016,2015,2016-10-30,2016-12-15,2015-12-09,0000006951-16-000068,0000006951-15-000034,0.995316,0.916411,324606,0.986005,0.857042,51414,0.987173,0.835779,75061
0000006951,AMAT,2017,2016,2017-10-29,2017-12-15,2016-12-15,0000006951-17-000038,0000006951-16-000068,0.998519,0.939850,314303,0.998184,0.942205,50259,0.988004,0.861091,66216
0000006951,AMAT,2018,2017,2018-10-28,2018-12-13,2017-12-15,0000006951-18-000041,0000006951-17-000038,0.998897,0.950872,311473,0.998461,0.946401,52547,0.992856,0.902019,65134
0000006951,AMAT,2019,2018,2019-10-27,2019-12-13,2018-12-13,0000006951-19-000046,0000006951-18-000041,0.998492,0.924346,326206,0.998188,0.930370,54427,0.995779,0.871439,66266
0000006951,AMAT,2020,2019,2020-10-25,2020-12-11,2019-12-13,0000006951-20-000048,0000006951-19-000046,0.996257,0.906110,339370,0.993230,0.920813,63040,0.986872,0.850591,70990
0000006951,AMAT,2021,2020,2021-10-31,2021-12-17,2020-12-11,0000006951-21-000043,0000006951-20-000048,0.998512,0.932253,337801,0.996465,0.903119,67667,0.993688,0.888504,69211
0000006951,AMAT,2022,2021,2022-10-30,2022-12-16,2021-12-17,0000006951-22-000043,0000006951-21-000043,0.998245,0.919802,338238,0.996518,0.905552,73260,0.994164,0.881119,68056
0000006951,AMAT,2023,2022,2023-10-29,2023-12-15,2022-12-16,0000006951-23-000041,0000006951-22-000043,0.958220,0.906003,317415,0.861680,0.848708,68122,0.938227,0.769784,53007
0000006951,AMAT,2024,2023,2024-10-27,2024-12-13,2023-12-15,0000006951-24-000044,0000006951-23-000041,0.996417,0.874294,295188,0.996956,0.907152,75218,0.965325,0.729084,39060
0000006951,AMAT,2025,2024,2025-10-26,2025-12-12,2024-12-13,0001628280-25-056742,0000006951-24-000044,0.997951,0.924304,292251,0.992347,0.889026,68708,0.984962,0.786480,40926
0000002488,AMD,2008,2007,2008-12-27,2009-02-24,2008-02-26,0001193125-09-036235,0001193125-08-038588,0.989462,0.842509,653791,0.934225,0.574191,77340,0.737512,0.051682,184119
0000002488,AMD,2009,2008,2009-12-26,2010-02-19,2009-02-24,0001193125-10-035218,0001193125-09-036235,0.934496,0.794076,545278,0.977308,0.788889,67120,0.554677,0.076950,6641
0000002488,AMD,2010,2009,2010-12-25,2011-02-18,2010-02-19,0001193125-11-040392,0001193125-10-035218,0.992507,0.832837,513266,0.991746,0.875579,66705,0.586437,0.082331,150715
0000002488,AMD,2011,2010,2011-12-31,2012-02-24,2011-02-18,0001193125-12-075837,0001193125-11-040392,0.995718,0.874448,467234,0.993014,0.872426,70118,0.986836,0.824742,146019
0000002488,AMD,2012,2011,2012-12-29,2013-02-21,2012-02-24,0001193125-13-069422,0001193125-12-075837,0.985620,0.871002,424644,0.994286,0.897117,75915,0.995728,0.896021,154277
0000002488,AMD,2013,2012,2013-12-28,2014-02-18,2013-02-21,0001193125-14-057240,0001193125-13-069422,0.988452,0.865578,411671,0.986836,0.829018,77954,0.988355,0.844217,151616
0000002488,AMD,2014,2013,2014-12-27,2015-02-19,2014-02-18,0001193125-15-054362,0001193125-14-057240,0.996942,0.881791,426767,0.995225,0.890770,79947,0.965463,0.734825,107229
0000002488,AMD,2015,2014,2015-12-26,2016-02-18,2015-02-19,0000002488-16-000111,0001193125-15-054362,0.994747,0.895935,437648,0.993426,0.898674,82568,0.963949,0.742814,154720
0000002488,AMD,2016,2015,2016-12-31,2017-02-21,2016-02-18,0000002488-17-000043,0000002488-16-000111,0.989980,0.899496,468002,0.995114,0.898253,88435,0.996175,0.895147,163555
0000002488,AMD,2017,2016,2017-12-30,2018-02-27,2017-02-21,0000002488-18-000042,0000002488-17-000043,0.996538,0.902057,491742,0.998384,0.951132,89849,0.994011,0.899522,172568
0000002488,AMD,2018,2017,2018-12-29,2019-02-08,2018-02-27,0000002488-19-000011,0000002488-18-000042,0.994485,0.890561,433178,0.997396,0.929400,90617,0.993794,0.897453,171097
0000002488,AMD,2019,2018,2019-12-28,2020-02-04,2019-02-08,0000002488-20-000008,0000002488-19-000011,0.995392,0.886099,361957,0.996461,0.935124,88523,0.996219,0.912180,167179
0000002488,AMD,2020,2019,2020-12-26,2021-01-29,2020-02-04,0001628280-21-001185,0000002488-20-000008,0.993564,0.870268,373574,0.988813,0.902651,109803,0.989433,0.823717,177502
0000002488,AMD,2021,2020,2021-12-25,2022-02-03,2021-01-29,0000002488-22-000016,0001628280-21-001185,0.996184,0.890594,353996,0.997722,0.935047,112326,0.994039,0.877792,170312
0000002488,AMD,2022,2021,2022-12-31,2023-02-27,2022-02-03,0000002488-23-000047,0000002488-22-000016,0.991186,0.813266,395132,0.993506,0.896953,116733,0.986340,0.832854,175472
0000002488,AMD,2023,2022,2023-12-30,2024-01-31,2023-02-27,0000002488-24-000012,0000002488-23-000047,0.992783,0.848259,394924,0.991249,0.802800,125789,0.991765,0.816672,197420
0000002488,AMD,2024,2023,2024-12-28,2025-02-05,2024-01-31,0000002488-25-000012,0000002488-24-000012,0.994876,0.898709,375409,0.996030,0.910844,126211,0.993650,0.881846,189486
0000002488,AMD,2025,2024,2025-12-27,2026-02-04,2025-02-05,0000002488-26-000018,0000002488-25-000012,0.996710,0.881159,392862,0.996794,0.885726,131981,0.995690,0.873226,197922
0000318154,AMGN,2008,2007,2008-12-31,2009-02-27,2008-02-28,0001193125-09-041091,0001193125-08-040431,0.994631,0.812034,667166,0.980379,0.668058,131932,0.990940,0.749584,98364
0000318154,AMGN,2009,2008,2009-12-31,2010-03-01,2009-02-27,0001193125-10-044311,0001193125-09-041091,0.992518,0.788176,606536,0.967746,0.575584,76041,0.987654,0.710921,91054
0000318154,AMGN,2010,2009,2010-12-31,2011-02-25,2010-03-01,0000950123-11-018800,0001193125-10-044311,0.994448,0.838528,567748,0.988643,0.777507,89389,0.978279,0.692130,63738
0000318154,AMGN,2011,2010,2011-12-31,2012-02-29,2011-02-25,0001193125-12-086670,0000950123-11-018800,0.994697,0.861066,593649,0.989180,0.792546,102815,0.980510,0.717572,69775
0000318154,AMGN,2012,2011,2012-12-31,2013-02-27,2012-02-29,0001445305-13-000364,0001193125-12-086670,0.996359,0.873654,595875,0.990361,0.835552,112031,0.988625,0.781534,71367
0000318154,AMGN,2013,2012,2013-12-31,2014-02-24,2013-02-27,0000318154-14-000004,0001445305-13-000364,0.987817,0.754248,469542,0.967896,0.707880,74915,0.990869,0.832237,70030
0000318154,AMGN,2014,2013,2014-12-31,2015-02-19,2014-02-24,0000318154-15-000005,0000318154-14-000004,0.997619,0.895683,483856,0.996982,0.912136,77525,0.990053,0.824749,75892
0000318154,AMGN,2015,2014,2015-12-31,2016-02-16,2015-02-19,0000318154-16-000031,0000318154-15-000005,0.997028,0.861249,470914,0.988209,0.771850,70187,0.993601,0.841319,74052
0000318154,AMGN,2016,2015,2016-12-31,2017-02-14,2016-02-16,0000318154-17-000004,0000318154-16-000031,0.996373,0.858803,458957,0.994830,0.881501,75537,0.992741,0.826282,65556
0000318154,AMGN,2017,2016,2017-12-31,2018-02-13,2017-02-14,0000318154-18-000004,0000318154-17-000004,0.996234,0.855870,496116,0.991929,0.831124,86209,0.988619,0.798883,70872
0000318154,AMGN,2018,2017,2018-12-31,2019-02-13,2018-02-13,0000318154-19-000008,0000318154-18-000004,0.996571,0.850075,510229,0.991436,0.807947,100939,0.990237,0.782689,68183
0000318154,AMGN,2019,2018,2019-12-31,2020-02-12,2019-02-13,0000318154-20-000017,0000318154-19-000008,0.993931,0.850053,532963,0.994460,0.850294,113231,0.990661,0.817824,66040
0000318154,AMGN,2020,2019,2020-12-31,2021-02-09,2020-02-12,0000318154-21-000010,0000318154-20-000017,0.992641,0.836460,592816,0.983465,0.821700,147871,0.977674,0.749106,73720
0000318154,AMGN,2021,2020,2021-12-31,2022-02-16,2021-02-09,0000318154-22-000010,0000318154-21-000010,0.996463,0.860294,590314,0.995955,0.836902,149548,0.989996,0.798837,75085
0000318154,AMGN,2022,2021,2022-12-31,2023-02-09,2022-02-16,0000318154-23-000017,0000318154-22-000010,0.996599,0.877915,588255,0.995358,0.857143,145533,0.993736,0.897139,78416
0000318154,AMGN,2023,2022,2023-12-31,2024-02-14,2023-02-09,0000318154-24-000011,0000318154-23-000017,0.995553,0.842736,607669,0.995398,0.858282,149391,0.988956,0.826934,77213
0000318154,AMGN,2024,2023,2024-12-31,2025-02-14,2024-02-14,0000318154-25-000010,0000318154-24-000011,0.998081,0.879520,629204,0.998392,0.904080,160765,0.991709,0.848297,76413
0000318154,AMGN,2025,2024,2025-12-31,2026-02-13,2025-02-14,0000318154-26-000010,0000318154-25-000010,0.995451,0.881253,639492,0.994148,0.834305,157397,0.993449,0.856694,79909
0001053507,AMT,2008,2007,2008-12-31,2009-02-26,2008-03-14,0001193125-09-039177,0001193125-08-057075,0.994534,0.873780,409792,0.992062,0.863148,36292,0.988243,0.722557,93089
0001053507,AMT,2009,2008,2009-12-31,2010-03-01,2009-02-26,0001193125-10-044876,0001193125-09-039177,0.996234,0.858321,405794,0.987672,0.869759,37373,0.986700,0.722259,91200
0001053507,AMT,2010,2009,2010-12-31,2011-02-28,2010-03-01,0001193125-11-050129,0001193125-10-044876,0.995250,0.830252,412754,0.967090,0.762639,34211,0.978270,0.769826,100548
0001053507,AMT,2011,2010,2011-12-31,2012-02-29,2011-02-28,0001193125-12-086162,0001193125-11-050129,0.990095,0.886064,506393,0.922969,0.731727,45128,0.985116,0.835301,115943
0001053507,AMT,2012,2011,2012-12-31,2013-02-27,2012-02-29,0001193125-13-077821,0001193125-12-086162,0.997349,0.913162,521062,0.997392,0.926582,44494,0.991581,0.860565,117714
0001053507,AMT,2013,2012,2013-12-31,2014-02-26,2013-02-27,0001193125-14-068001,0001193125-13-077821,0.970675,0.882751,526834,0.989064,0.855738,42036,0.946283,0.780876,138941
0001053507,AMT,2014,2013,2014-12-31,2015-02-24,2014-02-26,0001193125-15-059026,0001193125-14-068001,0.994270,0.925096,531291,0.990891,0.844968,41407,0.986325,0.829475,134487
