draw,sharpe,mean_ann_pct,alpha_FF5+MOM,t_FF5+MOM
46,-0.2681,-2.0471,-1.0457,-0.5704
47,0.4747,3.3791,3.0843,1.3706
48,-0.2518,-1.8340,-2.1685,-1.1673
49,0.3197,2.4411,1.5289,0.8454
50,0.2438,1.7415,1.7866,0.9064
51,-0.2981,-2.0975,-0.7072,-0.4033
52,-0.0208,-0.1829,-0.4974,-0.1837
53,-0.0183,-0.1334,0.3237,0.1675
54,-0.2335,-1.9663,-2.3559,-1.0500
55,-0.1304,-0.9621,-1.9754,-1.1493
56,-0.3222,-2.5986,-3.0934,-1.4882
57,0.1525,1.1393,0.9971,0.5977
58,-0.3218,-2.8897,-3.0915,-1.4236
59,0.3471,2.7858,2.1301,1.0505
60,0.4506,3.0778,3.2663,1.9245
61,-0.0923,-0.6387,-0.5424,-0.2905
62,-0.0321,-0.2696,-0.0962,-0.0430
63,-0.2359,-1.8675,-0.8059,-0.4580
64,0.1038,0.9251,1.3417,0.6324
65,0.2527,2.1002,0.8015,0.3807
66,-0.3122,-2.3621,-2.0643,-1.1893
67,0.2465,2.0765,2.4051,1.0460
68,0.1590,1.2942,0.0080,0.0040
69,-0.4910,-3.5326,-4.6663,-2.4950
70,-0.1708,-1.3792,-1.1965,-0.5249
71,-0.0314,-0.2472,0.6093,0.3108
72,-0.0065,-0.0493,-0.4474,-0.2563
73,0.2453,1.8474,0.7910,0.4007
74,-0.0996,-0.7286,0.7873,0.4211
75,0.0050,0.0373,-0.1649,-0.1062
76,0.0237,0.2159,1.2065,0.5466
77,-0.0361,-0.3459,0.1719,0.0917
78,0.1532,1.2558,2.2589,1.0806
79,0.2074,1.7755,-0.2198,-0.1114
80,0.0493,0.3807,0.3209,0.1730
81,-0.0557,-0.4521,-0.9690,-0.4817
82,-0.0067,-0.0533,-0.3628,-0.2095
83,0.4121,3.2111,3.8779,2.0766
84,-0.0416,-0.3061,0.2002,0.1216
85,0.2530,2.2176,0.9385,0.4791
86,-0.1754,-1.4098,-0.8896,-0.5022
